,-sC66z4SO3tR7nFCjfQwuQ,FURgKkRFtMK5yKbjYZVVwA,lVkDZZ8sTafPlq7f1i5row,XkNQVTkCEzBrq7OlRHI11Q,wNsmt1hF1uv3YvbwXZMAoQ,DcrM4hwDcU2G6vuh2cnaYQ,1NZLxU5WvB5roPFzneAlLw,EmlgWjs1ZzZEpDjZCSPLmw,w19cemjVR8u02PgjFpJ7Mw,FqzgT9Y-Yu7jiWdHnGW-kQ,cN6aBxe2mQvrQlzk26LyRQ,qjmCVYkwP-HDa35jwYucbQ,Zy2vca7i9QFGRKa4m0C__A,h6jfMpTZpNduLG0wE2tbaw,3n9mSKySEv3G03YjcU-YOQ,3l72FflaaeI0tWEAWN3-gQ,G9LwkTSdKOyOGqd5BbuIkA,ML1RJdeZ7bbfMrHvJ7m99A,KBG28p3lGX17hOPoHhq5PQ,wl51t6lT7leiX64SlkOx6g,r-a-Cn9hxdEnYTtVTB5bMQ,9ziO3NpoNTKHvIKCBFB_fQ,Y-9dJvw-J2d9QKfuL7mKgA,DDnmNTvIIQu2t3WZ2EQx-w,MXOdsPTLQPsQK9hUq01DWg,wZwZcte4lcbu51NOzCjWbQ,VY_tvNUCCXGXQeSvJl757Q,pwpl-rxwNRQdgqFz_-qMPg,zp713qNhx8d9KCJJnrw1xA,_FXql6eVhbM923RdCi94SA,cp39VURFby4A6u9m2It8jg,xs1LHeJy78u-7taSEnQ2Yw,xHI3saK0sAJEHeMK4IGVvg,FUI-hWH_bpis7AKZTWenUQ,SDwYQ6eSu1htn8vHWv128g,yJr24Yy1K6bt2G9fX3_zPA,wNUea3IXZWD63bbOQaOH-g,cLojUtqkFpVIHFEvA_5Atw,7SO_rX1F6rQEl-5s3wZxgQ,K8pM6qQdYu5h6buRE1-_sw,muCl5p-9ut1sY0aKeUeRhw,bzDs0u8I-z231QVdIQWkrA,qlrZzAktK8wODSHxhLEK7w,M6fjHpkL9IRI-nI0BattRw,cVejKU_SrdbvzIbQ4oPV0A,rZbHg4ACfN3iShdsT47WKQ,nMHhuYan8e3cONo3PornJA,iNvY0zAlaD_ye7Z6rHu-Ug,nts2OALwvyvfNh9focRZ3w,VpW40mznMS43CqdbelX2wA,VVeogjZya58oiTxK7qUjAQ,zMa6YoEekpABg1HZnnTZdg,OFBJtqWGSx6n6CchtVmoRw,AaKlegu7gmOCD4rEESF76Q,jtzhY-P4H6WSYpv5rWhxtw,Tt6DYs0TyERWHWW5xiRL_A,c0RSs2KYK5Y-ZlSrNq9LyA,5kRug3bEienrpovtPRVVwg,PwxvN0SnAGPdqXdNEYVT3g,F8q_9PUl-Lwjj9xIRPArcg,XHr5mXFgobOHoxbPJxmYdg,WS1z1OAR0tRl4FsjdTGUFQ,mqQwChPNN4o4DhAzaGntIA,ntN85eu27C04nwyPa8IHtw,3oZcTGb_oDHGwZFiP-7kxQ,vvMR0jgDoBA-g1XgZy8sEg,9BJ5h9X1krpXFjKj0a6wbg,5ambRqdTJt9vGwFzVI9HBw,-h-q6zTIdPlkz9BDP11sBg,MLcXtnpzygZvQ9BtseLLlw,I4bSn5gXsHuSPu7L-d_8nQ,zmFc8M-hS4uuyY0hklIpoQ,hfl62LX14YqNpG0g0Tj6_Q,V1nEpIRmEa1768oj_tuxeQ,R8VwdLyvsp9iybNqRvm94g,oCA2OZcd_Jo_ggVmUx3WVw,KPoTixdjoJxSqRSEApSAGg,Zx8_4zKdDBSO3qGrkukBIA,18TUn9oiW0k0yB6lheiOvw,AkOruz5CrCxUmXe1p_WoRg,wN_wAXWg8W94v04eqijy6g,d52zg-S0o940WUCK-nNiKw,XWvht_1ZLdK7EHJ3jo4q0g,EWMwV5V9BxNs_U6nNVMeqw,rDvz5jX65gpfONFu7er9Tw,soiGohHtWOltGeomkSxzEw,-3WVw1TNQbPBzaKCaQQ1AQ,TuCAYZ89lP_s6D7Y78xNhQ,Xq9tkiHhyN_aBFswFeGLvA,LzpR_jE6VIutJ08s2cdRrw,rQ4z0EStSZE4acgkne6Hmg,TfTlOE6h9E9o34dEkw9L_w,PmPOuRvuN3CoNOi1nBj_TQ,fVgrpVyp-nPLTac9YIjTug,uKSX1n1RoAzGq4bV8GPHVg,IVc23uY-36WUNYoIbz42Fg,yc5AH9H71xJidA_J2mChLA,-AAig9FG0s8gYE4f8GfowQ,yVQiGdxmnrkJDyQXv2maNA,oyzxIqrtzu-8sWlPhJVsLw
tL3SD3P_fwIQXBgqBfVjBg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,2,,5,,,,,,,,,,,,,,,,,,4,
jYjpGZD4KKXfOd_-lWAa5Q,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_qZ47wApoqNwl7uNiiOBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
XzPiMSaKyrBD9-WxzzfZIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,
JjweKRcu8DeYTah_KHsT2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KzFTp00JdzuggUHaRn_uzQ,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
LuGNgzNcUOMKYPjBuiVKpw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
RvaQ6i9CdTpF_1MzKlUUaA,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
2ejPSikL73mYUtD19nK8yg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Znu5KKqytHfmjbXfQo3f4Q,4,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,
_GVAV2LjUWEs9fGjslex_A,,,5,,,,,,,,5,,,,,3,,4,,,5,,,,,,,5,4,,4,,,,,,,,5,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,,,,,,,5,,,,,
f8dilgbBoQLxDgQB_T_qFw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirVzN1BVQBmq5zY0YMNYQ,,,4,,,,4,,,,,4,,,,,,,,,,4,,,,4,,4,,4,,,,,,,,3,4,,4,,,,,,,,4,,5,,,4,,,,,,,,,,4,,,,,,4,,,,4,,,,,,,,4,,,4,,,,,,,3,,,,4,,,,
f2aH-hqBtQLMGegUsJvi9g,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
8lFmxaXLNmOkS_yqbe8XMA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uuqb4Hw78ftwK3wXomRslg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
cKyPgaodxUTDIZkd90ihiQ,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
kOb1hWSwA6aD2mRVy6lqFQ,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15cUUq1KnmjYOPoEbbydqA,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lPpUERljy4DepQEJY4Bw6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
27ieBXHQocroAXIBHDGKNA,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_ZITL9cYCKgBgDCwUQrow,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
MfzQr1wAuA-Hj1eNHPqAgA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6chlQCERdcs7A-VoOeoLQ,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,,,,,,,
7cR92zkDv4W3kqzii6axvg,4,4,,,,,,,,,,,,,2,,,,,,,4,3,4,,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,,3,,,,,4,,3,1,,,,,,,,,,5,,,,,,4,,,,,,2,,5,,5,,,3,3,,,4,4,4,,,
EacK6XwZjsTD6QYSIRlJ7Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,4,,,,
2bYed9QCeJfCekV4tPJABw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,4,,,,
jt0M38z-ID2ja3nILJ2bXw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,
EkjShZfahzBHvkCfphlgkg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,5,,,,,
T4KQp8MGRx6PFKGkiD24Gg,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-mw_aotUGmP0k0s6QKwOA,,,,,,,,,,,,5,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,4,,,,
4_YfcfHkCem1onJFkItxjA,4,,,,,,5,3,4,,5,,,,,,,3,,,,,4,,,,,,,,,,,3,5,,,,4,,5,,,,,,,4,,,5,1,4,4,,,,5,,,,,,4,,,3,,,5,,,5,4,5,,,4,3,4,5,,,4,,,,,,,,3,,,,3,4,,,
i3bxC2dAhaftWX_5LQ54eA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
dFuRGclJgXaFpkDuYuucag,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9FbgqZ5u9WTLAs28nNafIQ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,5,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,
ddr63wQ7CdByADPnHNr4-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
_ei7Bs7tciprz4im-_0kxg,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
ikzyZTdFumUndn9Ch8aBzg,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5oluA_-GZ6ykAjbSSngOA,,,,,,4,4,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dQO0tQISZyb9L4d5ASnXyQ,4,,,5,,5,,,,,,,,,,3,,,5,,2,,,,3,,,2,5,,3,,,,,,,,4,,,,2,,,,,,,4,5,5,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5
Aa17p4H5O2vVSL6YqTMtrA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
MP-w-W67xVZJFIpTYiFEqQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
EdTOfyShPKmil_A-IWdTPQ,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eYoB6mEOCkraWM2vhYikvQ,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZ43etAB2n_T53YBYtf8Dw,3,,,,,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,
upP6FTH739wJZTce4GTMbw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,,,,,
XxW_WSU13NamMOjg_mXgvw,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_X1zedRYJt_pf7fosmForA,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
K0euQLFAcKhQPZ6JxGAryg,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
GkWuTgewni9bzPM4HUCO-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,4,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,
1uhipArheEVbwWyoAbKAGg,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jqVeTSin5GeRm0ceSg-PBA,,,,,,,3,,,,,,,,,,,,,,,3,,,3,,,4,,,,,,4,4,,,,,,5,,,,,,,,,,4,,,4,,,,5,,,,,,,4,,,,,5,,,,,,4,,,,,,,,5,,,2,,,,,,,,,3,4,,,
mSRwdGB_oMEIxtY7I0SU-A,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,
-z_XfbzcZYN7sxPQLNzA5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,5,,,,,
4wB03cyIrbf_jLfodNFZoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kDJ9PRlYugp5RIa9ontPZg,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,4,,,,,,5,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,,,,,,,,,,,5,,
jz5yxyXO7vt8AqFwzWBx1Q,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,
LMqKXdbwYdCqCCF64QbVkA,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mAWDlmTrBCbxZftZfdJf3w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
1wMGLaMIH7CcmJ2htS1rmw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,5,,,
J2JfCaiaZku8HgfNceU8Rg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJo0cru2sBJyufnGkdHgHA,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,,,
vrFuer-guQYHBgPFMJUN5A,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
r3_JcUFWGERe8ytAHQPDyQ,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,1,,,,,1,,,,,,,,,,,,5,,2,,5,,,5,,,,,,,,,,,,,,5,,,,4,2,,,,
eCtkMHrbM8j0R5yabfrRzg,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
PNS9z4aFDbfhpIsHCfNvNg,3,,,,,5,,5,4,,,,,,,,4,,,,2,,4,,4,,,,,4,3,,4,4,5,,,,5,,,,,4,4,,,,,,3,4,3,2,,,,,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,,
kHI1UedCN7pNnYEknsmqDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_QXYA7A0IhMrvbckz7eVg,4,,,4,,,,,,,,4,,,4,2,,,,,,5,,,,,,5,,5,3,,,4,,,,2,,5,,,,4,4,4,,4,,4,3,,3,4,,,,,,,4,4,,5,,,,,,,,,,,,,,3,3,3,,,,5,,,5,5,,,4,,,,,5,5,,4,
RWtDRHpLnPBDjDVdKWh6uQ,,,,,,,,,,,,4,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
iPBdvOGcVmuSuiCEKrQoPQ,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnbEhogXiXad6UN_3bMM8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
7_ZhEUnA-ymFeBObvs40Fw,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
WPnoGr_ukB5BubC3bITkjQ,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,4,,,,
2me-yA-ogtpYx0Ai_83YoQ,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,5,,4,,4,,,,,,,,,,,,,,,,2,,5,,,,,,,,,,,,,5,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,5,
MrPOzC4Fz_xEwJkA051V8g,,,,,,,4,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,4,,,4,,,,,,,,,,,,,,,,,,,4,,,,
wo4b_NZrBfWLoPE0c_9Qng,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,
53Nh-_bsrQFUtj_pkFxu9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0Utl86_U8SBNgphEl0NdPQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5E193w76Qlhoi1gkyakW2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Fg4THvQ5qrQx6-c89SLLuA,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
Ypz7hxOCnrg8Y8vxHJU-sQ,4,4,,,,,,,,5,,,,,4,,,,,,,,,4,,,,,,5,3,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,3,,,,2,4,,,,5,,,,,,,,,,,
cOaan-hRNqiZHPJ24gUhSg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
8ZchNx1nHZMXe1WpVTbDcw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
EtRqkcj-ckGrJCazrdzR_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bL__I2hSQRN1ePizOXLZtg,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIH92hE32-AMbI6MpLEgbg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oyp1qPyKoeP_YxuZV0DpBg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
rjsx6_pSqwl0zuiwa_tI2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,
k2n8CdqJhZqZT_w36rzang,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
uWr21MBjmfojZ4MFaVlong,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5,,,,
pVDAcUrUBTz9RGselQfofg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,,,
o1IKKMxnl5lDR3-z4SucgA,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,5,,,,,,,,,
